$c0c0$,$c0c1$
-5.717363353839061,-10.046676155939393
-5.7172899611946155,-10.046730129102311
-5.717535923451855,-10.046781311232468
-5.717533080358318,-10.04669070586463
-5.7173316389691715,-10.046707780581624
-5.717576738825856,-10.046759830626405
-5.717448823346916,-10.046763539599816
-5.717392741518731,-10.046761761872142
-5.717233786917188,-10.04677410811763
-5.7174680377865625,-10.046818427817485
-5.717467480643427,-10.046761328171057
-5.724213923482209,-10.047345239231552
-5.717356005808368,-10.046874037246395
-5.717588068180992,-10.046759292646966
-5.717513237414152,-10.046872686998984
-5.71767999591482,-10.04671117145765
-5.71737903108789,-10.046826400440802
-5.717509922061899,-10.046804812142383
-5.71728239331319,-10.04685822752582
-5.717551408996667,-10.046722392890764
-5.717369179917518,-10.046894891517878
-5.717476884308192,-10.046783904887947
-5.71741442583456,-10.047103696228168
-5.7172485322253825,-10.046758441736811
-5.717514849371148,-10.046799386186
-5.71750580088424,-10.046911082334557
-5.7176018092215,-10.046684288063304
-5.717542122035741,-10.046752899274257
-5.717402972487453,-10.046758890164565
-5.717389427931103,-10.04684966303177
-5.717291499903096,-10.046859030079736
-5.717322406134549,-10.04699887180469
-5.717504227305183,-10.046863828999529
-5.717646255868342,-10.046705151913054
-5.717353182484043,-10.04674736216932
-5.717346910348629,-10.04696910602378
-5.717494466487792,-10.046846810828397
-5.717331359625801,-10.046585082490497
-5.715592916657532,-10.044963314303647
-5.717595723983297,-10.046704838727376
-5.717525812858136,-10.046838773109808
-5.717503476216339,-10.046618585911352
-5.717461440902971,-10.046926007449068
-5.717373844002593,-10.046713459972498
-5.717341155178178,-10.046773159935094
-5.7172131777779285,-10.04693235507299
-5.717703641023876,-10.046714574953612
-5.717522665310407,-10.046805024505415
-5.7175613426725445,-10.046895537913414
-5.717722589815684,-10.04678790195565
-5.717417609203875,-10.046817165069903
-5.717480810943244,-10.04676478065386
-5.717643002480549,-10.046857478086524
-5.717492698888207,-10.046793865138545
-5.7171616988218785,-10.046767163820975
-5.717436009653771,-10.04676923550246
-5.717356008167682,-10.046912904214816
-5.717360679247723,-10.046727723965938
-5.717358886998186,-10.046894397205255
-5.717444864088562,-10.046797544130689
-5.717635560209601,-10.046944596768364
-5.717265600843542,-10.046853422951182
-5.677641559160175,-10.02064594365368
-5.717543969856936,-10.046829874771246
-5.717293408465984,-10.046826660434215
-5.717413331362678,-10.046761270226929
-5.717582863416464,-10.046853210063135
-5.717453467107126,-10.046815682553268
-5.728093167165075,-10.052520944345035
-5.717476626470826,-10.046709034190236
-5.717169355945792,-10.046792755089186
-5.717449189154373,-10.046623431750527
-5.717471134345505,-10.046774985787874
-5.717261435879212,-10.046776938039145
-5.717587745599887,-10.046870655687698
-5.717421861133287,-10.04681332554219
-5.717352693288564,-10.046759872393034
-5.717687337195198,-10.046927339611258
-5.717356228876747,-10.04679014260875
-5.717266188412204,-10.046753573243777
-5.717590850738425,-10.046754982919015
-5.717399673991706,-10.046879316549957
-5.717360619037584,-10.046691630754594
-5.717421522734265,-10.046830874258816
-5.717371751579372,-10.046776994498863
-5.717497009930362,-10.046447043541937
-5.717512350629868,-10.046780379121673
-5.717568203345671,-10.046705486861002
-5.717433049421145,-10.046937853124293
-5.717459664291148,-10.046820722922217
-5.717355804292821,-10.046914479783522
-5.717492826309532,-10.046763967830842
-5.717598863480027,-10.046763715601294
-5.7176285775347475,-10.046867201240095
-5.717347191769213,-10.04674565009981
-5.717434594016865,-10.046924910399
